,Unnamed: 0.1,Unnamed: 0,ID,Resort,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,state_full,Latitude,Longitude,website,year_opened,remove,Oct snow,Nov snow,Dec snow,Jan snow,Feb snow,Mar snow,Apr snow,May snow,Jun snow,Jul snow,Aug snow,Sep snow,Total snow,Open January,Open February,Open March,Open April,Open May,Open June,Open July,Open August,Open September,Open October,Open November,Open December,Difficulty,Scaled_Latitude,Scaled_Longitude
0,0,0,25,Crested Butte,United States,North America,98,November - April,3707,2774,27,69,25,121,0,0,5,10,0,15,19717,Yes,Yes,No,No,Colorado,38.89972148,-106.9657004,www.skicb.com,1962,,12.75732835603198,20.374378859214584,50.12202528830901,34.746708832387846,29.662766794520103,31.26307015656799,21.91333507928322,11.016465860401864,0.4442282549039589,0.0,0.0154252440284854,1.2807708399815243,213.5965035656305,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.6528925619834711,111.19777183999997,131.1634609908
1,1,1,26,Jackson Hole,United States,North America,119,December - April,3185,1924,16,50,50,116,11,0,1,9,3,13,20480,Yes,Yes,No,No,Wyoming,43.58821361,-110.8276823,www.jacksonhole.com,1966,,5.369217906225463,22.30797385249356,39.60439343777854,38.828427866687925,32.70061654368724,23.303737164795248,14.352588828780204,2.919866031236224,0.2109873013233605,0.0,0.0040650054851539,0.4200735117193886,180.0219474502123,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.310344827586203,148.70570887999997,103.07526663210001
2,2,2,27,Park City,United States,North America,97,November - April,3049,2080,27,152,71,250,4,480,5,32,4,41,76110,Yes,Yes,Yes,No,Utah,40.65202224,-111.5078874,www.parkcitymountain.com,1963,,6.347520037351319,16.675686928152725,31.93034548459091,32.99254491886129,26.5031336486496,24.48802607578868,17.26559797922771,4.243258103298079,0.4852356247388779,0.0,0.0,0.7447589413700475,161.67610774202925,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.599999999999998,125.21617792,98.12813493980002
3,3,3,29,Arapahoe Basin,United States,North America,83,October - June,3790,3286,40,25,40,105,4,0,2,5,0,7,7200,Yes,Yes,No,No,Colorado,39.64342057,-105.8719826,www.arapahoebasin.com,1946,,17.32446214189054,24.015226584719866,33.628256302180255,33.031658237687566,31.024690688125723,34.82579684320085,37.550348622279536,26.86739656243112,5.203804006100953,0.0050987784318067,0.6308255233163947,2.790985457853376,246.898549748218,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,117.14736456000003,139.11807055020006
4,4,4,79,Winter Park Resort,United States,North America,119,November - April,3676,2743,11,53,79,143,7,36,5,19,1,25,41130,Yes,Yes,No,No,Colorado,39.88478105,-105.7627241,www.winterparkresort.com,1940,,13.8430490385829,23.887449381701902,39.48907542416431,36.00200893372063,32.313055253717216,29.56545259070209,35.48637212417882,12.518691265676903,1.2565435074132894,0.001122632364589,0.0136893565260512,0.97844481781086,225.35495432655955,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.552447552447546,119.0782484,139.91270762070008
5,5,5,87,Alta,United States,North America,82,November - April,3215,2600,29,46,40,115,4,0,3,7,0,10,13100,Yes,No,Yes,No,Utah,40.58861325,-111.6386022,www.alta.com,1938,,17.939760537910963,40.2571422065024,70.87509040757428,65.85570176442465,58.40688427602212,58.27053262805688,50.24489330181612,17.409488597879886,2.78366894859654,0.0,0.0293473871987013,3.457616320432328,385.5301263764149,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.565217391304348,124.70890600000001,97.17744619940004
6,6,6,88,Aspen Mountain,United States,North America,124,November - April,3418,2422,0,49,54,103,4,0,0,7,1,8,13400,Yes,No,No,No,Colorado,39.18704179,-106.8182485,www.aspensnowmass.com,1947,,8.835484437507596,16.964539680189976,27.32893363071552,25.56795194705953,25.299062722624125,27.07009647149114,24.89680505487237,8.793792073808,0.333560733344611,0.0,0.009520473129794,0.6401107067198287,165.7398579314625,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.42718446601942,113.49633432000002,132.23587865950003
7,7,7,89,Aspen Highlands,United States,North America,124,December - April,3559,2451,24,40,70,134,5,0,0,5,0,5,7085,Yes,No,No,No,Colorado,39.18252111,-106.8563308,www.aspensnowmass.com,1958,,9.153632647565656,16.993144932850768,29.30850486742856,24.97434287559329,25.18209822847461,27.716952984727268,25.34723688611208,9.078446335679905,0.334638936000232,0.0,0.0,0.7420274529244343,168.83102614735682,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.32835820895522,113.46016888000003,131.95890609160006
8,8,8,91,Vail,United States,North America,127,November - April,3433,2457,57,84,93,234,6,0,9,20,2,31,54858,Yes,Yes,No,No,Colorado,39.60675608,-106.3548644,www.vail.com,1962,,14.455183734261771,23.748818051627307,34.058624208755695,35.774781635114216,29.6523636720312,28.36552004175861,28.492286762227543,17.333710287499617,0.9532212585289016,0.0015168678103464,0.0649080501766642,1.186405892760113,214.087340462552,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.384615384615383,116.85404863999997,135.60607121880003
9,9,9,94,Beaver Creek,United States,North America,141,November - April,3488,2255,28,64,57,149,4,0,8,13,3,24,38200,Yes,Yes,No,No,Colorado,39.60493106,-106.5166894,www.beavercreek.com,1980,,8.502535074655935,18.17050967072173,29.962895579851207,24.53101651249283,20.422141539456025,24.270668743163583,19.904092228005872,6.2520457065011605,0.2192149324992821,0.0,0.0,0.4919301180701874,152.72705010541782,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.463087248322147,116.83944847999999,134.4291179938
10,10,10,98,Breckenridge,United States,North America,140,November - April,3914,2926,28,60,65,153,5,0,15,18,1,34,43880,Yes,Yes,No,No,Colorado,39.48355119,-106.0682096,www.breckenridge.com,1961,,12.767322576577897,21.28774029376313,27.2398666916244,26.932826192360228,26.37854867719916,27.41844729175718,27.785803702246803,15.071746871227356,1.2641247176122818,0.0,0.0499077043508312,1.2039575051134912,187.4002922238328,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.18300653594771,115.86840952,137.69091157920002
11,11,11,154,Big Sky Resort,United States,North America,110,November - April,3398,2072,55,69,126,250,9,0,11,22,1,34,36283,Yes,Yes,No,No,Montana,45.28637807,-111.4011647,www.bigskyresort.com,1973,,14.26037416605186,28.98308636713529,37.3694295176058,33.23740189469705,37.397704412305146,34.55935031410278,35.34626366272373,19.56282825920525,5.024004483160386,0.2794078015905692,0.0373359740249801,3.004037176217302,249.06122402882016,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.4,162.29102455999998,98.90432913690006
12,12,12,155,Snowmass,United States,North America,124,November - April,3813,2473,14,111,111,236,8,0,6,13,2,21,27765,Yes,Yes,Yes,No,Colorado,39.21099209,-106.9491819,www.aspensnowmass.com,1967,,7.4393971483382035,13.90765766732962,25.57205481166289,22.14480072181681,22.586869755442063,24.433825585472928,20.39514313845496,6.817451612217221,0.3176567748462739,0.0,0.0,0.4719173501482799,144.08677456572929,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.10169491525424,113.68793671999998,131.28360004130002
13,13,13,165,Powder Mountain,United States,North America,67,November - April,2712,2101,30,50,55,135,0,0,3,6,0,9,13470,Yes,Yes,Yes,No,Utah,41.38186109,-111.7807708,www.powdermountain.com,1972,,7.884411732825082,25.468597437922416,56.02701935242481,50.496170996368086,45.81693808237712,40.16664459949404,24.207866723768976,10.542845162819692,1.7397222243581931,0.0,0.0,2.147798463115536,264.498014775474,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.51851851851852,131.05488872,96.14345397160002
14,14,14,166,Keystone,United States,North America,120,November - April,3651,2835,25,65,45,135,5,0,7,11,4,22,30500,Yes,Yes,Yes,No,Colorado,39.60824093,-105.9437012,www.keystoneresort.com,1970,,14.195637929001505,23.01332759340917,30.759339179266785,26.757815378544525,24.55242349719752,27.68735372488268,29.513756434122723,17.012686867100676,2.09014371937028,0.0069360407631544,0.0497024516108164,1.0179447063936693,196.6570675216635,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.814814814814811,116.86592744000001,138.59646117240004
15,15,15,168,Killington,United States,North America,90,November - May,1285,355,37,43,46,126,9,1500,5,15,3,23,41660,Yes,Yes,No,No,Vermont,43.62644615,-72.79674658,www.killington.com,1958,,1.810239402841889,7.009336644440787,18.90989739369611,17.709383071251118,20.47338283906772,13.579311020418102,4.591632077074425,0.5832000041571206,0.0,0.0,0.0,0.0,84.66638245294726,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.14285714285714,149.0115692,379.67426212366
16,16,16,169,Copper Mountain,United States,North America,89,November - April,3767,2926,30,40,56,126,0,0,7,15,1,23,29084,Yes,Yes,No,No,Colorado,39.50647833,-106.1410809,www.coppercolorado.com,1972,,16.665915061482604,29.54785119047941,39.03391182891966,38.04205158564049,36.17554887386133,34.277385926934976,35.91761501442416,19.91716144591805,2.106812995249828,0.0068021258657059,0.2892424115358665,1.8568101517484568,253.8371086120605,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.634920634920636,116.05182664,137.16091861430004
